authors,series,series_index,timestamp,tags,formats,isbn,identifiers,languages,#kanon,comments,library_name,rating,cover,pubdate,#przeczytane,size,author_sort,title,title_sort,publisher,#chomik,#format,id,#kiedy,uuid
J. R. R. Tolkien,,1.0,2010-11-26T00:00:00+01:00,Fantasy,epub,9788320717501,"google:YyXoAAAACAAJ,isbn:9788320717501,biblionetka:78",pol,1,,Biblioteka calibre,5,/home/amarcinkowski/Dropbox/Biblioteka calibre/J. R. R. Tolkien/Hobbit czyli Tam i z powrotem (205)/cover.jpg,1937-01-01T01:00:00+01:00,True,292367,"Tolkien, JRR",Hobbit czyli Tam i z powrotem,Hobbit czyli Tam i z powrotem,Iskry,,DONE,205,1998-11-26T00:00:00+01:00,e985d4d8-7d20-4c7a-9436-9097720d0ec9
Clive Staples Lewis,Opowieści z Narnii,1.0,2010-11-26T18:57:49+01:00,,"epub, rtf",9788321109961,"amazon:8321109969,google:2wtZAAAACAAJ,isbn:9788321109961",pol,4,,Biblioteka calibre,,/home/amarcinkowski/Dropbox/Biblioteka calibre/Clive Staples Lewis/Siostrzeniec Czarodzieja (206)/cover.jpg,1955-01-02T01:00:00+01:00,True,428287,"Lewis, Clive Staples",Siostrzeniec Czarodzieja,Siostrzeniec Czarodzieja,Pax,,DONE,206,2011-12-26T00:00:00+01:00,be7c0c7f-1266-4a94-9e71-5ecfd19a699f
C. S Lewis,Opowieści z Narnii,2.0,2010-11-26T18:57:50+01:00,"Polish Language Materials, Fantasy, Narnia (Imaginary Place)","epub, rtf",9788321105567,"amazon:8321105564,google:lKS1ygAACAAJ,isbn:9788321105567",pol,4,"<h3>From School Library Journal</h3><p>Gr 3-6-This classic tale celebrates its 50th anniversary with a delightful audio rendition. Actor Michael York's reading is a perfect match for this story. The narration is clear and distinct, and York's soft and soothing British accent adds the right touch. Listeners will fall under the spell of this master storyteller as they join Peter, Edmund, Lucy and Susan on their travels. Beginning with Chapter One when Lucy looks into the wardrobe and discovers Narnia and the faun, readers will find that this timeless story can still work the magic that C.S. Lewis intended. In this action packed tale, the four children take part in several adventures as they travel through Narnia on their quest to rid the country of the Witch and her followers. Narnia fans will want to listen to this story over and over again, and new fans will be created as they listen for the first time.-Ginny Harrell, William McGarrah Elementary School, Morrow, GA</p><p>Copyright 2001 Cahners Business Information, Inc.</p><h3>Review</h3><p>""The magic of C. S. Lewis's parallel universe never fades."" The </p>",Biblioteka calibre,3,"/home/amarcinkowski/Dropbox/Biblioteka calibre/C. S Lewis/Lew, Czarownica I Stara Szafa (207)/cover.jpg",1985-10-15T01:00:00+01:00,True,382361,"Lewis, C. S","Lew, Czarownica I Stara Szafa","Lew, Czarownica I Stara Szafa",Pax,,,207,2006-05-28T00:00:00+02:00,222c237a-d2bc-4984-84ec-a51f02c7e66b
Clive Staples Lewis,Opowieści z Narnii,3.0,2010-11-26T18:57:51+01:00,"Chłopiec, Lewis, Narnii, Koń, Fantasy, Literatura Dziecięca/młodzieżowa, Opowieści, Z","epub, rtf",8385594566,"lubimyczytac:52513,isbn:8385594566",pol,4,"W tomie piątym zatytułowanym KOŃ I JEGO CHŁOPIEC śledzimy pasjonującą ucieczkę z Kalormenu do Narnii dzielnego Szasty, pięknej księżniczki Arawis oraz mówiących koni: Briego i Hwin. Kim naprawdę jest Szasta i jaki to lew krąży wokół uciekinierów, odkrywamy dopiero na ostatnich stronicach książki.
",Biblioteka calibre,3,/home/amarcinkowski/Dropbox/Biblioteka calibre/Clive Staples Lewis/Kon i jego chlopiec (208)/cover.jpg,1954-01-02T01:00:00+01:00,True,487670,"Lewis, Clive Staples",Koń i jego chłopiec,Koń i jego chłopiec,Media Rodzina,,,208,2012-09-17T02:10:37+02:00,fee12566-7ee4-459c-99f5-27a4966ae748
Clive Staples Lewis,Opowieści z Narnii,4.0,2010-11-26T18:57:52+01:00,"Fantasy, Fantastyka, Science Fiction","epub, rtf",9788321106335,"lubimyczytac:8651,amazon:8321106331,google:IlHnAAAACAAJ,isbn:9788321106335",pol,4,"Książę Kaspian marzy o powrocie dawnych czasów świetności Narnii. Niestety w królestwie trwa wojna domowa, a ciotce i wujowi księcia nie podobają się jego marzenia. Chcą go zabić, by objąć tron. Ratuje go jego nauczyciel, doktor Korneliusz. Teraz pomóc mu muszą legendarni królowie Narnii Piotr, Edmund, Zuzanna i Łucja.
",Biblioteka calibre,3,/home/amarcinkowski/Dropbox/Biblioteka calibre/Clive Staples Lewis/Ksiaze Kaspian (209)/cover.jpg,1951-01-02T01:00:00+01:00,False,502815,"Lewis, Clive Staples",Książę Kaspian,Książę Kaspian,Pax,,,209,,8bb501b2-e66f-48ff-b1ed-7a253e784fef
Clive Staples Lewis,Opowieści z Narnii,5.0,2010-11-26T18:57:52+01:00,"Aslan, Narnia, Kaspian, Literatura Dziecięca/młodzieżowa, Łucja","epub, rtf",8385594450,"lubimyczytac:48232,isbn:8385594450",pol,4,"W trzecim tomie słynnego cyklu ""Opowieści z Narni"" Edmund i Łucja w towarzystwie swego arcy niesympatycznego kuzyna Eustachego trafiają na żaglowiec króla Kaspiana.  
Obfitująca w najniezwyklejsze przygody morska wyprawa - dzięki mądremu Lwu Aslanowi - staje się podróżą ku własnej tożsamości i dojrzałości.
",Biblioteka calibre,3,/home/amarcinkowski/Dropbox/Biblioteka calibre/Clive Staples Lewis/Podroz _Wedrowca do Switu_ (210)/cover.jpg,1969-01-02T01:00:00+01:00,False,532518,"Lewis, Clive Staples","Podróż ""Wędrowca do Świtu""","Podróż ""Wędrowca do Świtu""",Media Rodzina,,,210,,9814e479-008e-4e15-9fe6-be94a411b77f
Clive Staples Lewis,Opowieści z Narnii,6.0,2010-11-26T18:57:53+01:00,"Stara Szafa, Narnia, Aslan, Literatura Dziecięca/młodzieżowa, Fantasy","epub, rtf",9788372781833,"lubimyczytac:9600,google:hcTNAAAACAAJ,isbn:9788372781833",pol,4,"Czwarty już tom słynnego narnijskiego cyklu o poszukiwaniach księcia Kaspiana przez Eustachego Klarencjusza Scrubba i nowo poznanej koleżanki Julii.
",Biblioteka calibre,3,/home/amarcinkowski/Dropbox/Biblioteka calibre/Clive Staples Lewis/Srebrne krzeslo (211)/cover.jpg,1953-01-02T01:00:00+01:00,False,435446,"Lewis, Clive Staples",Srebrne krzesło,Srebrne krzesło,Media Rodzina,,,211,,a141cdd0-240b-4e53-9b22-a09d90ecea1c
Clive Staples Lewis,Opowieści z Narnii,7.0,2010-11-26T18:57:54+01:00,"Polish Language Materials, Fantasy, Narnia (Imaginary Place)","epub, rtf",9788372781864,"google:qbPFXwAACAAJ,isbn:9788372781864",pol,4,,Biblioteka calibre,,/home/amarcinkowski/Dropbox/Biblioteka calibre/Clive Staples Lewis/Ostatnia Bitwa (212)/cover.jpg,1956-01-02T01:00:00+01:00,False,433716,"Lewis, Clive Staples",Ostatnia Bitwa,Ostatnia Bitwa,Media Rodzina,,,212,,b28cc4cb-9baa-4778-935f-5a33732f77c2
Robert Ervin Howard,,1.0,2010-11-26T18:58:31+01:00,magia i miecz,"epub, rtf",,biblionetka:76247,pol,2,"HOBBIT
",Biblioteka calibre,2,/home/amarcinkowski/Dropbox/Biblioteka calibre/Robert Ervin Howard/Conan z Cimmerii (213)/cover.jpg,2010-11-26T00:00:00+01:00,True,454571,"Howard, Robert Ervin",Conan z Cimmerii,Conan z Cimmerii,,,,213,2005-10-26T00:00:00+02:00,bf629507-6df5-47c7-850c-27f765469872
J. R. R. Tolkien,The Lord of the Rings,1.0,2010-11-26T19:01:40+01:00,,"epub, lit",,,,7,,Biblioteka calibre,,/home/amarcinkowski/Dropbox/Biblioteka calibre/J. R. R. Tolkien/The Fellowship of the Ring (214)/cover.jpg,2010-11-26T19:01:40+01:00,True,507471,"Tolkien, J. R. R.",The Fellowship of the Ring,"Fellowship of the Ring, The",,,FINE,214,1998-01-10T00:00:00+01:00,e9e143a8-a9fb-4265-ac1b-d04f33117250
J. R. R. Tolkien,The Lord of the Rings,3.0,2010-11-26T19:01:41+01:00,,"epub, lit",,,,7,,Biblioteka calibre,,/home/amarcinkowski/Dropbox/Biblioteka calibre/J. R. R. Tolkien/The Return of the King (215)/cover.jpg,2010-11-26T19:01:41+01:00,True,468089,"Tolkien, J. R. R.",The Return of the King,"Return of the King, The",,,FINE,215,1998-01-10T00:00:00+01:00,fd2eacfa-9344-43a2-9c53-d45e5e626e6a
J. R. R. Tolkien,The Lord of the Rings,2.0,2010-11-26T19:01:42+01:00,,"epub, lit",,,,7,,Biblioteka calibre,,/home/amarcinkowski/Dropbox/Biblioteka calibre/J. R. R. Tolkien/The Two Towers (216)/cover.jpg,2010-11-26T19:01:42+01:00,True,428896,"Tolkien, J. R. R.",The Two Towers,"Two Towers, The",,,FINE,216,1998-01-10T00:00:00+01:00,011089b1-013e-4f63-93b6-24d85b658341
J. R. R. Tolkien,,1.0,2010-11-26T19:01:43+01:00,Fantasy,"epub, pdf",9780061952845,isbn:9780061952845,,1,"SUMMARY:  
Bilbo Baggins was a hobbit who wanted to be left alone in quiet comfort. But the wizard Gandalf came along with a band of homeless dwarves. Soon Bilbo was drawn into their quest, facing evil orcs, savage wolves, giant spiders, and worse unknown dangers. Finally, it was Bilbo? alone and unaided? who had to confront the great dragon Smaug, the terror of an entire countryside . . .
",Biblioteka calibre,4,/home/amarcinkowski/Dropbox/Biblioteka calibre/J. R. R. Tolkien/The Hobbit or There and Back again (217)/cover.jpg,2009-11-15T00:00:00+01:00,True,367020,"Tolkien, J. R. R.",The Hobbit or There and Back again,"Hobbit or There and Back again, The",HarperCollins,,,217,,028084af-4db7-40bd-8099-a10276f3b774
Poul Anderson,Holger Danske,1.0,2010-11-26T19:03:10+01:00,Fantasy,"epub, lit",9780743497992,isbn:9780743497992,,11,"<h3>Product Description</h3><p>The gathering forces of the Dark Powers threaten the world of man. The legions of Faery, aided by trolls, demons and the Wild Hunt itself, are poised to overthrow the Realms of Light. Holger Carlsen, a bemused and puzzled twentieth-century man mysteriously snatched out of time, finds himself the key figure in the conflict. Arrayed against him are the dragons, giants and elven warriors of the armies of Chaos, and the beautiful sorceress Morgan le Fay. On his side is a vague prophecy, a quarrelsome dwarf and a beautiful woman who can turn herself into a swan, not to mention Papillon, the magnificent battle-horse, and a full set of perfectly fitting armour, both of which were waiting for him when he entered the magical realm. The shield bears three hearts and three lions - the only clue to Holger Carlsen's true identity. Could Carlsen really be a legendary hero, the only man who can save the world? </p><h3>About the Author</h3><p>Poul Anderson was born in 1926 in Pennsylvania and educated at the University of Minnesota where he gained a degree in physics in 1948. Amongst his many fine novels are A MIDSUMMER NIGHT'S TEMPEST, BRAIN WAVE, THE AVATAR, WAR OF THE WING-MEN and THE BOAT OF A MILLION YEARS. </p>",Biblioteka calibre,,/home/amarcinkowski/Dropbox/Biblioteka calibre/Poul Anderson/Three Hearts and Three Lions (219)/cover.jpg,2005-12-27T00:00:00+01:00,True,343969,"Anderson, Poul",Three Hearts and Three Lions,Three Hearts and Three Lions,I Books,,DONE,219,2006-03-26T00:00:00+01:00,6b46aab9-1822-48e0-97f0-da39c904d123
Poul Anderson,,1.0,2010-11-26T19:03:20+01:00,Fantasy,"epub, lit",9780575082724,isbn:9780575082724,,9,"SUMMARY: The sword Tyrfing has been broken to prevent it striking at the roots of Yggdrasil, the great tree that binds earth, heaven and hell together . . . but now the mighty sword is needed again to save the elves, who are heavily involved in their war against the trolls, and only Scafloc, a human child kidnapped and raised by the elves, can hope to persuade the mighty ice-giant, Bolverk, to make the sword Thor broke whole again. But things are never easy, and along the way Scafloc must also confront his shadow self, Valgard the changeling, who took his place in the world of men.A superb dark fantasy of the highest, and most Norse, order The Broken Sword is a fantasy masterpiece.",Biblioteka calibre,,/home/amarcinkowski/Dropbox/Biblioteka calibre/Poul Anderson/The Broken Sword (220)/cover.jpg,2008-04-03T00:00:00+02:00,True,309830,"Anderson, Poul",The Broken Sword,"Broken Sword, The",Victor Gollancz Limited,,DONE,220,2007-11-26T00:00:00+01:00,6ad1f8db-8533-4233-8700-72ac2ce56075
C. J. Cherryh,Morgaine,1.0,2010-11-26T19:12:57+01:00,Fantasy,"epub, lit",9780886773212,isbn:9780886773212,,26,"<h3>Review</h3><p>""Never since reading The Lord of the Rings have I been so caught up in any tale as I have been in Gate of Ivrel.""</p><p>-- ANDRE NORTON </p><h3>Product Description</h3><p>Scattered about the galaxy were the time-space, gates of a vanished alien race. Long before the rise of the native civilizations, they had terrorized a hundred worlds--not from villainy but from folly. Now the task was to destroy their potency for mischief. This is the story of one such Gate. </p>",Biblioteka calibre,,/home/amarcinkowski/Dropbox/Biblioteka calibre/C. J. Cherryh/Gate of Ivrel (221)/cover.jpg,1981-01-01T00:00:00+01:00,True,305672,"Cherryh, C. J.",Gate of Ivrel,Gate of Ivrel,Penguin Group USA,,DONE,221,2008-12-29T00:00:00+01:00,87568f0d-3728-4fc9-9ae4-6e2d2274aec8
Patricia A. McKillip,The Riddle-Master Trilogy,1.0,2010-11-26T19:26:31+01:00,"Fantasy, To read","epub, rtf",9780345331045,"amazon:0345274679,isbn:9780345331045",eng,25,"In seeking the answer to the riddle of the three stars on his forehead and the three stars on the enchanted harp and sword, Morgon, Prince of Hed, goes ultimately to the High One, himself.
",Biblioteka calibre,4,/home/amarcinkowski/Dropbox/Biblioteka calibre/Patricia A. McKillip/The Riddle-Master of Hed (222)/cover.jpg,1978-01-12T01:00:00+01:00,True,399941,"McKillip, Patricia A.",The Riddle-Master of Hed,"Riddle-Master of Hed, The",Del Rey,,,222,2011-10-05T00:00:00+02:00,d8ff8e6f-b838-4037-901a-98b20f708ae1
Patricia A. McKillip,The Riddle-Master Trilogy,2.0,2010-11-26T19:26:32+01:00,"Fantasy, To read, General, Fiction",,9780345288820,"amazon:B000FS5E62,google:M5siAQAAIAAJ,isbn:9780345288820",eng,25,"When Morgon, Prince of Hed, fails to return from his journey to the High One, his fiancée, accompanied by his sister and a friend, sets out to find him.",Biblioteka calibre,5,/home/amarcinkowski/Dropbox/Biblioteka calibre/Patricia A. McKillip/Heir of Sea & Fire (223)/cover.jpg,1978-10-15T18:12:35+01:00,True,349734,"McKillip, Patricia A.",Heir of Sea & Fire,Heir of Sea & Fire,Ballantine Books,,,223,2011-11-05T00:00:00+01:00,673a366b-5f84-4da7-ad6d-8227e3782b77
Patricia A. McKillip,The Riddle-Master Trilogy,3.0,2010-11-26T19:26:33+01:00,"Fantasy, To read, Wizards","epub, rtf",9780345324405,"amazon:0345324404,google:lhpZAAAAYAAJ,isbn:9780345324405",eng,25,"In the midst of conflict and unrest the Prince of Hed solves the puzzle of his future when he learns to harp the wind, discovers who the shape changers are, and understands his own relationship to Deth, harpist of the wizard Ohm.
",Biblioteka calibre,5,/home/amarcinkowski/Dropbox/Biblioteka calibre/Patricia A. McKillip/Harpist in the Wind (224)/cover.jpg,1985-04-12T02:00:00+02:00,True,461848,"McKillip, Patricia A.",Harpist in the Wind,Harpist in the Wind,Del Rey,,,224,2011-12-05T00:00:00+01:00,9e6914d3-f00e-41cf-9b27-816aa2ace879
Patricia A. McKillip,,1.0,2010-11-26T19:26:34+01:00,"Fantasy, Wizards","epub, rtf",9780708882429,"amazon:0152055363,google:X0yqAAAACAAJ,isbn:9780708882429",eng,24,"Sixteen when a baby is brought to her to raise, Sybel has grown up on Eld Mountain. Her only playmates are the creatures of a fantastic menagerie called there by wizardry. Sybel has cared nothing for humans, until the baby awakens emotions previously unknown to her. And when Coren--the man who brought this child--returns, Sybel's world is again turned upside down. 

**
",Biblioteka calibre,5,/home/amarcinkowski/Dropbox/Biblioteka calibre/Patricia A. McKillip/The Forgotten Beasts of Eld (225)/cover.jpg,1974-10-15T18:11:45+01:00,True,344948,"McKillip, Patricia A.",The Forgotten Beasts of Eld,"Forgotten Beasts of Eld, The",Magic Carpet Books,,,225,,73a45eec-6fd0-48fd-8d7a-b8d741dcb853
C. J. Cherryh,Morgaine,2.0,2010-11-26T19:27:05+01:00,Fantasy,"epub, lit",9780886773229,isbn:9780886773229,,26,"<h3>Review</h3><p>""Cherryh is the best writer of this sort of adventure tale since the earliest days of C.L. Moore and the prime of Leigh Bracket. Morgaine and Vanye fans will be fascinated by this new skein of development in the relationship between the two, as well as by the setting of her tale, so much like Ivrel and yet so different. Any reader who is willing to become lost in an alternate reality will find much to enjoy and will take pleasure in Cherryh's explicit promise of further stories."" -Washington Post </p><h3>Product Description</h3><p>The world of Shiuan was doomed. Rising waters and shattering earthquakes had sealed its fate. The only escape routes were the Gates. And just as this knowledge dawned on the desperate tribes and cities there appeared the woman Morgaine--whose mission was to seal Shiuan's Gates. </p>",Biblioteka calibre,,/home/amarcinkowski/Dropbox/Biblioteka calibre/C. J. Cherryh/Well of Shiuan (226)/cover.jpg,1992-11-15T00:00:00+01:00,,318911,"Cherryh, C. J.",Well of Shiuan,Well of Shiuan,Penguin Group USA,,DONE,226,,871556cc-d881-4553-aa8b-4ecdbcb18bed
C. J. Cherryh,Morgaine,3.0,2010-11-26T19:27:06+01:00,Fantasy,"epub, lit",9780886773236,isbn:9780886773236,,26,"<h3>Review</h3><p>""Cherryh is the best writer of this sort of adventure tale since C.L. Moore and Leigh Bracket....Any reader who is willing to become lost in an alternate reality will find much to enjoy."" -The Washington Post This fantasy-adventure story will satisfy any reader's wish for action and excitement."" -The Milwaukee Journal ""For those who have read GATE OF IVREL and WELL OF SHIUAN, it is sufficient to say that this finally concludes the trilogy, wraps up all the loose ends, and in the process is better than either of the earlier books. -Fantasiae </p><h3>Product Description</h3><p>There was a star Gate in Azeroth marked by alien fires that Morgaine must seal. But Morgaine and Vanye have brought devastation to the peaceful land. For the hordes of Shiuan were on their heels, determined to conquer a new land for themselves and to avenge their lost planet. </p>",Biblioteka calibre,,/home/amarcinkowski/Dropbox/Biblioteka calibre/C. J. Cherryh/Fires of Azeroth (227)/cover.jpg,1981-01-01T00:00:00+01:00,,324707,"Cherryh, C. J.",Fires of Azeroth,Fires of Azeroth,Penguin Group (USA) Incorporated,,DONE,227,,146deb60-679a-4e42-8d92-c3713b30ebad
Ursula K. Le Guin,Tales from Earthsea,1.0,2010-11-28T15:27:23+01:00,,"epub, lit",,,,16,,Biblioteka calibre,,/home/amarcinkowski/Dropbox/Biblioteka calibre/Ursula K. Le Guin/A Wizard of Earthsea (229)/cover.jpg,2010-11-28T15:27:23+01:00,True,315488,"Guin, Ursula K. Le",A Wizard of Earthsea,"Wizard of Earthsea, A",,,,229,,dde1e45c-68ed-4792-b6d1-5db935434520
Ursula K. Le Guin,Tales from Earthsea,2.0,2010-11-28T15:27:24+01:00,,"epub, lit",,,,16,,Biblioteka calibre,,/home/amarcinkowski/Dropbox/Biblioteka calibre/Ursula K. Le Guin/The Tombs of Atuan (230)/cover.jpg,2010-11-28T15:27:24+01:00,True,286113,"Guin, Ursula K. Le",The Tombs of Atuan,"Tombs of Atuan, The",,,,230,,9eaaa771-e803-4a60-8c77-58b4a061298a
Ursula K. Le Guin,Tales from Earthsea,3.0,2010-11-28T15:27:25+01:00,,"epub, lit",,,,16,,Biblioteka calibre,,/home/amarcinkowski/Dropbox/Biblioteka calibre/Ursula K. Le Guin/The Fathest Shore (231)/cover.jpg,2010-11-28T15:27:25+01:00,True,349371,"Guin, Ursula K. Le",The Fathest Shore,"Fathest Shore, The",,,,231,,af6f9a56-dfaf-47ac-abfd-3ad50192f9ae
Ursula K. Le Guin,Tales from Earthsea,4.0,2010-11-28T15:27:26+01:00,,"epub, lit",,,,16,,Biblioteka calibre,,/home/amarcinkowski/Dropbox/Biblioteka calibre/Ursula K. Le Guin/Tehanu (232)/cover.jpg,2010-11-28T15:27:26+01:00,True,376726,"Guin, Ursula K. Le",Tehanu,Tehanu,,,,232,2010-12-10T00:00:00+01:00,1ca13845-dd9a-4a35-aedc-420922cc8451
Ursula K. Le Guin,Tales from Earthsea,6.0,2010-11-28T15:27:26+01:00,,"epub, lit",,,,16,,Biblioteka calibre,,/home/amarcinkowski/Dropbox/Biblioteka calibre/Ursula K. Le Guin/The Other Wind (233)/cover.jpg,2010-11-28T15:27:26+01:00,False,335325,"Guin, Ursula K. Le",The Other Wind,"Other Wind, The",,,,233,,8a5cec48-dd13-4188-b271-1a1659b19ef5
Ursula K. Le Guin,Tales from Earthsea,5.0,2010-11-28T15:27:27+01:00,,"epub, lit",,,,16,,Biblioteka calibre,,/home/amarcinkowski/Dropbox/Biblioteka calibre/Ursula K. Le Guin/Tales from Earthsea (234)/cover.jpg,2010-11-28T15:27:27+01:00,True,367984,"Guin, Ursula K. Le",Tales from Earthsea,Tales from Earthsea,,,,234,2012-09-23T23:34:17+02:00,aa8e2f19-95b6-4d4c-a49a-b0e455d12da5
Guin Ursula K. Le,Opowieści z Ziemiomorza,1.0,2010-11-28T15:29:11+01:00,"Magic, psychika, magia, Fantasy, Wizards, dojrzewanie, smoki, czarodzieje, podróże","epub, rtf",9788361174561,"isbn:9788361174561,biblionetka:1140",pol,16,"Po raz pierwszy w jednym tomie!   
  
  
""Ziemiomorze"" Ursuli K. Le Guin to jeden z najznakomitszych cykli literatury fantasy, porównywany z dziełami J.R.R. Tolkiena czy C.S. Lewisa. Opisuje malowniczy świat pełen wysp, smoków i tajemnic, w którym najważniejsza jest równowaga między tworzącymi go siłami. Głównym bohaterem serii jest czarnoksiężnik Ged; poszczególne części opowiadają jego losy – od najmłodszych lat i pierwszych kroków stawianych w świecie magii aż po czasy, gdy zaczęła się ona stawać niebezpiecznym narzędziem w rękach zła.   
  
Ged, którego Ziemiomorze na zawsze zapamięta jako Krogulca, zostaje wysłany na wyspę Roke, aby tam zgłębiać czarnoksięską sztukę. Jest obdarzony niezwykłymi magicznymi zdolnościami, więc po latach nauki zostaje Arcymagiem, który będzie musiał pomóc Najwyższej Kapłance Archipelagu – Tenar – uciec z labiryntu ciemności.   
  
Niestety, wraz z upływem lat równowaga Ziemiomorza zacznie się chwiać coraz bardziej, a prawdziwa magia i pradawne zwyczaje coraz częściej wykorzystywane będą przez mroczne siły zła i śmierci…   
  
  
""Saga o Ziemiomorzu to opowieść o dojrzewaniu, o wyzbywaniu się młodzieńczej pychy i ducha rywalizacji, dorastaniu do wewnętrznej harmonii i mądrości, ale też zrozumienia ograniczoności ludzkich działań. Im większa moc i im większa władza, tym większa odpowiedzialność – przestrzega Le Guin"".   
  
""Wysokie Obcasy""   
  
  
""Potrzebowałam sześciu książek i trzydziestu lat życia, by opowiedzieć historię Geda i Tenar. W tym czasie nieustannie dowiadywałam się czegoś nowego o krainach i ludach Ziemiomorza – bo wszystkie przygody i odkrycia bohaterów były też moimi przygodami i odkryciami. (…) I oto wreszcie macie przed sobą ukończoną historię. Oby lektura sprawiła wam równie wielką przyjemność, jak mnie jej pisanie!""   
  
Ursula K. Le Guin   
  
  
Ursula K. Le Guin urodziła się 21 października 1929 r. w Berkeley. Jej książki stały się klasyką nie tylko fantastyki. To już kanon literatury pięknej – analizowany, poddawany badaniom literackim, antropologicznym i psychoanalitycznym. Pisze dla dorosłych, młodzieży i dla dzieci. Jest autorką scenariuszy filmowych i esejów oraz tekstów piosenek. Została uhonorowana wszelkimi możliwymi nagrodami przyznawanymi twórcom science fiction i fantasy, z Nebulą, Hugo i World Fantasy Award na czele. Amerykańska Biblioteka Kongresu określiła ją mianem Żyjącej Legendy wśród pisarzy. Od 1958 roku mieszka w Portland w stanie Oregon.   
  
[Prószyński i S-ka, 2013]
",Biblioteka calibre,4,/home/amarcinkowski/Dropbox/Biblioteka calibre/Guin Ursula K. Le/Czarnoksieznik z Archipelagu (235)/cover.jpg,1968-01-01T01:00:00+01:00,True,3183883,"Le, Guin Ursula K.",Czarnoksiężnik z Archipelagu,Czarnoksiężnik z Archipelagu,"""Polityka"" Spółdzielnia Pracy",,,235,2005-01-10T00:00:00+01:00,dd1d01ff-fcf3-4244-8a31-b4a6feb19d8d
Guin Ursula K. Le,Opowieści z Ziemiomorza,4.0,2010-11-28T15:29:12+01:00,"czarodzieje, czarownice, smoki","epub, rtf",,biblionetka:1771,pol,16,,Biblioteka calibre,,/home/amarcinkowski/Dropbox/Biblioteka calibre/Guin Ursula K. Le/Tehanu (236)/cover.jpg,1990-01-01T01:00:00+01:00,True,475360,"Le, Guin Ursula K.",Tehanu,Tehanu,,,,236,2009-03-10T00:00:00+01:00,1d287129-09c4-47f7-afcb-ae98808af426
Guin Ursula K. Le,Opowieści z Ziemiomorza,3.0,2010-11-28T00:00:00+01:00,"czarodzieje, magia, poszukiwania, smoki, wyprawy",epub,,biblionetka:1139,pol,16,,Biblioteka calibre,,/home/amarcinkowski/Dropbox/Biblioteka calibre/Guin Ursula K. Le/Najdalszy brzeg (237)/cover.jpg,1972-01-01T01:00:00+01:00,True,243768,"Le, Guin Ursula K.",Najdalszy brzeg,Najdalszy brzeg,,,,237,2009-02-10T00:00:00+01:00,9e054328-64a7-4312-8d47-1dd7ab3561c3
Guin Ursula K. Le,Opowieści z Ziemiomorza,2.0,2010-11-28T00:00:00+01:00,"czarodzieje, dojrzewanie, kapłani, kult, magia, religie","epub, pdf",,biblionetka:1141,pol,16,"W podziemnych grobowcach na wyspie Atuan trwają w półśnie Bezimienni - mroczne bóstwa ziemi, nieśmiertelne i silne, pozbawione twórczych mocy, zdolne jednak do niszczenia. Młoda dziewczyna Tenar, która już jako dziecko została ich kapłanką, pewnego dnia staje przed wyborem - ostatecznie wyrzec się siebie, własnego imienia i woli, zachowując za to władzę, której udzieliły jej potęgi ciemności i śmierci, albo wybrać trudną, czasami bolesną wolność, opowiadając się po stronie życia i światła.   
  
Czarnoksiężnik Ged, zwany Krogulcem, poszukujący w podziemiach ukrytej połówki magicznego pierścienia, stara się pomóc Tenar, ale decydujący krok musi zrobić ona sama...   
  
""Grobowce Atuanu"" to druga po ""Czarnoksiężniku z Archipelagu"" część tetralogii Ursuli K. Le Guin o ZIEMIOMORZU. Kolejne części tej serii to ""Najdalszy brzeg"" i ""Tehanu"".   
  
[Prószyński i S-ka, 1996]
",Biblioteka calibre,,/home/amarcinkowski/Dropbox/Biblioteka calibre/Guin Ursula K. Le/Grobowce Atuanu (238)/cover.jpg,1971-01-01T01:00:00+01:00,True,485353,"Le, Guin Ursula K.",Grobowce Atuanu,Grobowce Atuanu,,,,238,2009-01-10T00:00:00+01:00,60780993-568b-4871-9b27-f66802700b86
